Authors,Title,Booktitle,Bookaddress,Year,Volume,Issue,Pages,Chapters,Cited by,Editors,Journals,Publisher,Conference name,Conference date,Conference location,ISBN,Document Type
"Banerjee S., Marchetti M.C.",Continuum Models of Collective Cell Migration,Cell Migrations: Causes and Functions,Cham,2019,1146,1,45-66,,12,"La Porta C. A. M., Zapperi S.",Advances in Experimental Medicine and Biology,Springer New York LLC,,,,9783030175924;9783030175931,Book Chapter
"Jun H., Jang H., Kim J.-J., Park Y., Shim E.B.",Continuum-based modeling of collective cell migration,,,2021,35,9,4271-4277,,0,,Journal of Mechanical Science and Technology,Korean Society of Mechanical Engineers,,,,,Article
"Jiang J., Dhakal N.P., Guo Y., Andre C., Thompson L., Skalli O., Peng C.",Controlled Dynamics of Neural Tumor Cells by Templated Liquid Crystalline Polymer Networks,,,2020,9,12,,,7,,Advanced Healthcare Materials,Wiley-VCH Verlag,,,,,Article
"Singh M., Venkata Krishnan H., Ranganathan S., Kiesel B., Beumer J. H., Sreekumar S., Sant S.",Controlled Three-Dimensional Tumor Microenvironments Recapitulate Phenotypic Features and Differential Drug Response in Early vs Advanced Stage Breast Cancer,,,2018,4,2,421-431,,8,,ACS Biomaterials Science and Engineering,American Chemical Society,,,,,Article
"Duclos G., Deforet M., Yevick H. G., Cochet-Escartin O., Ascione F., Moitrier S., Sarkar T., Yashunsky V., Bonnet I., Buguin A., Silberzan P.",Controlling confinement and topology to study collective cell behaviors,Cell Migration,New York,2018,1749,1,387-399,,4,,Methods in Molecular Biology,Humana Press Inc.,,,,,Book Chapter
"Staddon M. F., Bi D., Tabatabai A. P., Ajeti V., Murrell M. P., Banerjee S.",Cooperation of dual modes of cell motility promotes epithelial stress relaxation to accelerate wound healing,,,2018,14,10,,,26,,PLoS Computational Biology,Public Library of Science,,,,,Article
"Lång E., Połeć A., Lång A., Valk M., Blicher P., Rowe A.D., Tønseth K.A., Jackson C.J., Utheim T.P., Janssen L.M.C., Eriksson J., Bøe S.O.",Coordinated collective migration and asymmetric cell division in confluent human keratinocytes without wounding,,,2018,9,1,,,20,,Nature Communications,Nature Publishing Group,,,,,Article
"Saraswathibhatla A., Henkes S., Galles E.E., Sknepnek R., Notbohm J.",Coordinated tractions increase the size of a collectively moving pack in a cell monolayer,,,2021,48,1,,,3,,Extreme Mechanics Letters,Elsevier Ltd,,,,,Article
"Li D., Wang Y. -L.",Coordination of cell migration mediated by sitedependent cell-cell contact,,,2018,115,42,10678-10683,,23,,Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences,,,,,Article
"Mishra A.K., Mondo J.A., Campanale J.P., Montell D.J.",Coordination of protrusion dynamics within and between collectively migrating border cells by myosin II,,,2019,30,19,2490-2502,,14,,Molecular Biology of the Cell,American Society for Cell Biology,,,,,Article
"Markwell S.M., Ammer A.G., Interval E.T., Allen J.L., Papenberg B.W., Hames R.A., Castaño J.E., Schafer D.A., Weed S.A.","Cortactin phosphorylation by casein kinase 2 regulates actin-related protein 2/3 complex activity, invadopodia function, and tumor cell invasion",,,2019,17,4,987-1001,,5,,Molecular Cancer Research,American Association for Cancer Research Inc.,,,,,Article
"Miron-Mendoza M., Vazquez D., García-Rámila N., Ikebe H.R., Petroll W.M.",Coupling of fibrin reorganization and fibronectin patterning by corneal fibroblasts in response to pdgf bb and tgfβ1,,,2020,7,3,44579,,3,,Bioengineering,MDPI AG,,,,,Article
"Neelathi U. M., Nogare D. D., Chitnis A. B.",Cxcl12a induces snail1b expression to initiate collective migration and sequential Fgf-dependent neuromast formation in the zebrafish posterior lateral line primordium,,,2018,145,14,,,4,,Development (Cambridge),Company of Biologists Ltd,,,,,Article
"Rahman M.M., Williams S.J.",Cyclic force driven colloidal self-assembly near a solid surface,,,2022,607,1,1402-1410,,0,,Journal of Colloid and Interface Science,Academic Press Inc.,,,,,Article
"Tang X., Liu C., Chen L., Yang Z., Belguise K., Wang X., Lu K., Yan H., Yi B.",Cyclooxygenase-2 regulates HPS patient serum induced-directional collective HPMVEC migration via PKC/Rac signaling pathway,,,2019,692,1,176-184,,3,,Gene,Elsevier B.V.,,,,,Article
"Liu S.-C., Hsu T., Chang Y.-S., Chung A.-K., Jiang S.S., OuYang C.-N., Yuh C.-H., Hsueh C., Liu Y.-P., Tsang N.-M.",Cytoplasmic LIF reprograms invasive mode to enhance NPC dissemination through modulating YAP1-FAK/PXN signaling,,,2018,9,1,,,16,,Nature Communications,Nature Publishing Group,,,,,Article
"Sherrard K.M., Cetera M., Horne-Badovinac S.","Daam mediates the assembly of long-lived, treadmilling stress fibers in collectively migrating epithelial cells in drosophila",,,2021,10,1,,,0,,eLife,eLife Sciences Publications Ltd,,,,,Article
"Dean Z.S., Jamilpour N., Slepian M.J., Wong P.K.",Decreasing Wound Edge Stress Enhances Leader Cell Formation during Collective Smooth Muscle Cell Migration,,,2019,5,8,3864-3875,,6,,ACS Biomaterials Science and Engineering,American Chemical Society,,,,,Article
"Joy D.A., Libby A.R.G., McDevitt T.C.",Deep neural net tracking of human pluripotent stem cells reveals intrinsic behaviors directing morphogenesis,,,2021,16,5,1317-1330,,0,,Stem Cell Reports,Cell Press,,,,,Article
"Wang Z., Wang D., Li C., Xu Y., Li H., Bao Z.",Deep reinforcement learning of cell movement in the early stage of C.elegans embryogenesis,,,2018,34,18,3169-3177,,14,,Bioinformatics,Oxford University Press,,,,,Article
"Javer A., Rittscher J., Sailem H.Z.",DeepScratch: Single-cell based topological metrics of scratch wound assays,,,2020,18,1,2501-2509,,2,,Computational and Structural Biotechnology Journal,Elsevier B.V.,,,,,Article
"Mukherjee A., Jana A., Koons B., Nain A.",Design of fiber networks for studying metastatic invasion,Biomechanics in Oncology,Cham,2018,1092,1,289-318,,3,"Dong C. , Zahir N., Konstantopoulos K.",Advances in Experimental Medicine and Biology,Springer New York LLC,,,,9783319952932;9783319952949,Book Chapter
"Shang F.-F., Wang J.Y., Xu Q., Deng H., Guo H.-Y., Jin X., Li X., Shen Q.-K., Quan Z.-S.","Design, synthesis of novel celastrol derivatives and study on their antitumor growth through HIF-1α pathway",,,2021,220,1,,,4,,European Journal of Medicinal Chemistry,Elsevier Masson s.r.l.,,,,,Article
"Ahmad U.S., Parkinson E.K., Wan H.",Desmoglein-3 induces YAP phosphorylation and inactivation during collective migration of oral carcinoma cells,,,2022,16,8,1625-1649,,0,,Molecular Oncology,John Wiley and Sons Ltd,,,,,Article
"Grützmacher S., Kemkemer R., Thies C., Curio C.",Detecting lamellipodia in epithelial cell clusters using a fully convolutional neural network for phase contrast microscopy images,,,2018,4,1,449-452,,1,,Current Directions in Biomedical Engineering,Walter de Gruyter GmbH,,,,,Article
"Metzner C., Hörsch F., Mark C., Czerwinski T., Winterl A., Voskens C., Fabry B.",Detecting long-range interactions between migrating cells,,,2021,11,1,,,0,,Scientific Reports,Nature Research,,,,,Article
"Hayashi S., Kondo T.",Development and function of the drosophila tracheal system,,,2018,209,2,367-380,,39,,Genetics,Genetics Society of America,,,,,Article
"Ilyas A.M.O., Alam M.K., Musah J.-D., Saw L.O., Venkatesh S., Yeung C.-C., Yang M., Vellaisamy A.L.R., Lau C.","Development of a carboxyl-terminated indium tin oxide electrode for improving cell adhesion and facilitating low noise, real-time impedance measurements",,,2021,320,6,C974-C986,,0,,American Journal of Physiology - Cell Physiology,American Physiological Society,,,,,Article
"Mei J., Böhland C., Geiger A., Baur I., Berner K., Heuer S., Liu X., Mataite L., Melo-Narváez M.C., Özkaya E., Rupp A., Siebenwirth C., Thoma F., Kling M.F., Friedl A.A.",Development of a model for fibroblast-led collective migration from breast cancer cell spheroids to study radiation effects on invasiveness,,,2021,16,1,,,1,,Radiation Oncology,BioMed Central Ltd,,,,,Article
"Ioannou F., Dawi M.A., Tetley R.J., Mao Y., Muñoz J.J.",Development of a New 3D Hybrid Model for Epithelia Morphogenesis,,,2020,8,1,,,7,,Frontiers in Bioengineering and Biotechnology,Frontiers Media S.A.,,,,,Article
"Fessenden T. B., Beckham Y., Perez-Neut M., Juan G. R. -S., Chourasia A. H., Macleod K. F., Oakes P. W., Gardel M. L.",Dia1-dependent adhesions are required by epithelial tissues to initiate invasion,,,2018,217,4,1485-1502,,14,,Journal of Cell Biology,Rockefeller University Press,,,,,Article
"Kenry, Yeo T., She D.T., Nai M.H., Marcelo Valerio V.L., Pan Y., Middha E., Lim C.T., Liu B.",Differential Collective Cell Migratory Behaviors Modulated by Phospholipid Nanocarriers,,,2021,15,11,17412-17425,,1,,ACS Nano,American Chemical Society,,,,,Article
"Kunz P., Lehmann C., Pohl C.",Differential Thresholds of Proteasome Activation Reveal Two Separable Mechanisms of Sensory Organ Polarization in C. elegans,,,2021,9,1,,,1,,Frontiers in Cell and Developmental Biology,Frontiers Media S.A.,,,,,Article
"Zhang J. -Z., Li N., Chen W.",Diffusional inhomogeneity in cell cultures,,,2018,27,2,,,0,,Chinese Physics B,Institute of Physics Publishing,,,,,Article
"Du W., Hong S., Scapin G., Goulard M., Shah D.I.",Directed Collective Cell Migration Using Three-Dimensional Bioprinted Micropatterns on Thermoresponsive Surfaces for Myotube Formation,,,2019,5,8,3935-3943,,12,,ACS Biomaterials Science and Engineering,American Chemical Society,,,,,Article
"Molinie N., Gautreau A.",Directional collective migration in wound healing assays,Cell Migration,New York,2018,1749,1,44884,,16,Gautreau A.,Methods in Molecular Biology,Humana Press Inc.,,,,,Book Chapter
"Chen Y.-L., Tsai W.-H., Ko Y.-C., Lai T.-Y., Cheng A.-J., Shiah S.-G., Hsiao J.-R., Chang J.-Y., Lin S.-F.",Discoidin domain receptor-1 (DDR1) is involved in angiolymphatic invasion in oral cancer,,,2020,12,4,,,11,,Cancers,MDPI AG,,,,,Article
"Bernadskaya Y.Y., Brahmbhatt S., Gline S.E., Wang W., Christiaen L.",Discoidin-domain receptor coordinates cell-matrix adhesion and collective polarity in migratory cardiopharyngeal progenitors,,,2019,10,1,,,11,,Nature Communications,Nature Publishing Group,,,,,Article
"Matsiaka O. M., Penington C. J., Baker R. E., Simpson M. J.",Discrete and Continuum Approximations for Collective Cell Migration in a Scratch Assay with Cell Size Dynamics,,,2018,80,4,738-757,,12,,Bulletin of Mathematical Biology,Springer New York LLC,,,,,Article
"Fujiwara S., Deguchi S., Magin T.M.",Disease-associated keratin mutations reduce traction forces and compromise adhesion and collective migration,,,2020,133,14,,,9,,Journal of cell science,NLM (Medline),,,,,Article
"Zisis T., Brückner D.B., Brandstätter T., Siow W.X., d'Alessandro J., Vollmar A.M., Broedersz C.P., Zahler S.",Disentangling cadherin-mediated cell-cell interactions in collective cancer cell migration,,,2022,121,1,44-60,,0,,Biophysical Journal,Biophysical Society,,,,,Article
"Cerbino R., Villa S., Palamidessi A., Frittoli E., Scita G., Giavazzi F.",Disentangling collective motion and local rearrangements in 2D and 3D cell assemblies,,,2021,17,13,3550-3559,,3,,Soft Matter,Royal Society of Chemistry,,,,,Article
"Lüönd F., Sugiyama N., Bill R., Bornes L., Hager C., Tang F., Santacroce N., Beisel C., Ivanek R., Bürglin T., Tiede S., van Rheenen J., Christofori G.",Distinct contributions of partial and full EMT to breast cancer malignancy,,,2021,56,23,3203-3221,,8,,Developmental Cell,Cell Press,,,,,Article
"Costa M.L., de Andrade Rosa I., Andrade L., Mermelstein C., C. Coutinho C.",Distinct interactions between epithelial and mesenchymal cells control cell morphology and collective migration during sponge epithelial to mesenchymal transition,,,2020,281,2,183-195,,0,,Journal of Morphology,John Wiley and Sons Inc.,,,,,Article
"Kiran A., Kumar N., Mehandia V.","Distinct Modes of Tissue Expansion in Free Versus Earlier-Confined Boundaries for More Physiological Modeling of Wound Healing, Cancer Metastasis, and Tissue Formation",,,2021,6,17,11209-11222,,2,,ACS Omega,American Chemical Society,,,,,Article
"Lee R.M., Vitolo M.I., Losert W., Martin S.S.",Distinct roles of tumor associated mutations in collective cell migration,,,2021,11,1,,,2,,Scientific Reports,Nature Research,,,,,Article
"Mulens-Arias V., Balfourier A., Nicolás-Boluda A., Carn F., Gazeau F.",Disturbance of adhesomes by gold nanoparticles reveals a size- and cell type-bias,,,2019,7,1,389-408,,6,,Biomaterials Science,Royal Society of Chemistry,,,,,Article
"Liu R., Song K., Hu Z., Cao W., Shuai J., Chen S., Nan H., Zheng Y., Jiang X., Zhang H., Han W., Liao Y., Qu J., Jiao Y., Liu L.",Diversity of collective migration patterns of invasive breast cancer cells emerging during microtrack invasion,,,2019,99,6,,,4,,Physical Review E,American Physical Society,,,,,Article
"Johansson M., Giger F.A., Fielding T., Houart C.",Dkk1 Controls Cell-Cell Interaction through Regulation of Non-nuclear β-Catenin Pools,,,2019,51,6,775-786,,7,,Developmental Cell,Cell Press,,,,,Article
"Van Der Stoel M., Schimmel L., Nawaz K., Van Stalborch A.-M., De Haan A., Klaus-Bergmann A., Valent E.T., Koenis D.S., Van Nieuw Amerongen G.P., De Vries C.J., De Waard V., Gloerich M., Van Buul J.D., Huveneers S.",DLC1 is a direct target of activated YAP/TAZ that drives collective migration and sprouting angiogenesis,,,2020,133,3,,,12,,Journal of Cell Science,Company of Biologists Ltd,,,,,Article
"Wang K., Fan H.-Y., Pang X., Zhang M., Yu X.-H., Wu J.-S., Chen B.-J., Jiang J., Liang X.-H., Tang Y.-L.",Dll4/Notch1 signalling pathway is required in collective invasion of salivary adenoid cystic carcinoma,,,2021,45,3,1011-1022,,2,,Oncology Reports,Spandidos Publications,,,,,Article
"de Sousa J.S., Freire R.S., Sousa F.D., Radmacher M., Silva A.F.B., Ramos M.V., Monteiro-Moreira A.C.O., Mesquita F.P., Moraes M.E.A., Montenegro R.C., Oliveira C.L.N.",Double power-law viscoelastic relaxation of living cells encodes motility trends,,,2020,10,1,,,12,,Scientific Reports,Nature Research,,,,,Article
"Badmos H., Cobbe N., Campbell A., Jackson R., Bennett D.",Drosophila usp22/nonstop polarizes the actin cytoskeleton during collective border cell migration,,,2021,220,7,,,1,,Journal of Cell Biology,Rockefeller University Press,,,,,Article
"Elisha Y., Kalchenko V., Kuznetsov Y., Geiger B.",Dual role of E-cadherin in the regulation of invasive collective migration of mammary carcinoma cells,,,2018,8,1,,,34,,Scientific Reports,Nature Publishing Group,,,,,Article
"Wong M., Newton L.R., Hartmann J., Hennrich M.L., Wachsmuth M., Ronchi P., Guzmán-Herrera A., Schwab Y., Gavin A.-C., Gilmour D.",Dynamic Buffering of Extracellular Chemokine by a Dedicated Scavenger Pathway Enables Robust Adaptation during Directed Tissue Migration,,,2020,52,4,492-508,,8,,Developmental Cell,Cell Press,,,,,Article
"Vishwakarma M., Thurakkal B., Spatz J.P., Das T.",Dynamic heterogeneity influences the leader-follower dynamics during epithelial wound closure: Heterogeneity begets better coordination,,,2020,375,1807,,,3,,Philosophical Transactions of the Royal Society B: Biological Sciences,Royal Society Publishing,,,,,Article
"Lin S.-Z., Bi D., Li B., Feng X.-Q.",Dynamic instability and migration modes of collective cells in channels,,,2019,16,156,,,9,,Journal of the Royal Society Interface,Royal Society Publishing,,,,,Article
"Lin S. -Z., Ye S., Xu G. -K., Li B., Feng X. -Q.",Dynamic Migration Modes of Collective Cells,,,2018,115,9,1826-1835,,34,,Biophysical Journal,Biophysical Society,,,,,Article
"Menon T., Borbora A.S., Kumar R., Nair S.",Dynamic optima in cell sizes during early development enable normal gastrulation in zebrafish embryos,,,2020,468,44563,26-40,,4,,Developmental Biology,Elsevier Inc.,,,,,Article
Hiraiwa T.,Dynamic Self-Organization of Idealized Migrating Cells by Contact Communication,,,2020,125,26,,,5,,Physical Review Letters,American Physical Society,,,,,Article
"Khain E., Straetmans J.",Dynamics of an Expanding Cell Monolayer,,,2021,184,2,,,0,,Journal of Statistical Physics,Springer,,,,,Article
"Suffoletto K., Jetta D., Hua S. Z.",E-cadherin mediated lateral interactions between neighbor cells necessary for collective migration,,,2018,71,1,159-166,,6,,Journal of Biomechanics,Elsevier Ltd,,,,,Article
"Kashkooli L., Rozema D., Espejo-Ramirez L., Lasko P., Fagotto F.",Ectoderm to mesoderm transition by down-regulation of actomyosin contractility,,,2021,9,1,,,3,,PLoS Biology,Public Library of Science,,,,,Article
"Agyingi E., Wakabayashi L., Wiandt T., Maggelakis S.",Eden model simulation of re-epithelialization and angiogenesis of an epidermal wound,,,2018,6,11,,,0,,Processes,MDPI AG,,,,,Article
"Xu W., Zhang X., Wang L., Zeng W., Sun Y., Zhou C., Zhou T., Shen M.",Effect of chlorogenic acid on the quorum-sensing system of clinically isolated multidrug-resistant Pseudomonas aeruginosa,,,2022,132,2,1008-1017,,1,,Journal of Applied Microbiology,John Wiley and Sons Inc,,,,,Article
"Chakraborty M., Mukherjee B., Nalinakshan N., Biswas A., Nayak R.K., Sinha B.",Effect of heterogeneous substrate adhesivity of follower cells on speed and tension profile of leader cells in primary keratocyte collective cell migration,,,2022,11,3,,,0,,Biology Open,Company of Biologists Ltd,,,,,Article
"Liu Y., Lehnert T., Gijs M.A.M.",Effect of inoculum size and antibiotics on bacterial traveling bands in a thin microchannel defined by optical adhesive,,,2021,7,1,,,0,,Microsystems and Nanoengineering,Springer Nature,,,,,Article
"Bashirzadeh Y., Poole J., Qian S., Maruthamuthu V.",Effect of pharmacological modulation of actin and myosin on collective cell electrotaxis,,,2018,39,4,289-298,,4,,Bioelectromagnetics,Wiley-Liss Inc.,,,,,Article
"Vazquez K., Saraswathibhatla A., Notbohm J.",Effect of substrate stiffness on friction in collective cell migration,,,2022,12,1,,,0,,Scientific Reports,Nature Research,,,,,Article
"Dhar A., Burada P.S., Raja Sekhar G.P.",Effective medium model for a suspension of active swimmers,,,2021,33,9,,,1,,Physics of Fluids,American Institute of Physics Inc.,,,,,Article
"Lin J.-Y., Lo K.-Y., Sun Y.-S.",Effects of substrate-coating materials on the wound-healing process,,,2019,12,7,,,4,,Materials,MDPI AG,,,,,Article
"Mazalan M.B., Ramlan M.A.B., Shin J.H., Ohashi T.",Effiect of geometric curvature on collective cell migration in tortuous microchannel devices,,,2020,11,7,,,1,,Micromachines,MDPI AG,,,,,Article
"Nanba D., Toki F., Asakawa K., Matsumura H., Shiraishi K., Sayama K., Matsuzaki K., Toki H., Nishimura E.K.",EGFR-mediated epidermal stem cell motility drives skin regeneration through COL17A1 proteolysis,,,2021,220,11,,,1,,Journal of Cell Biology,Rockefeller University Press,,,,,Article
"Cho Y., Son M., Jeong H., Shin J. H.",Electric field-induced migration and intercellular stress alignment in a collective epithelial monolayer,,,2018,29,19,2292-2302,,23,,Molecular Biology of the Cell,American Society for Cell Biology,,,,,Article
"Zhu K., Hum N.R., Reid B., Sun Q., Loots G.G., Zhao M.",Electric Fields at Breast Cancer and Cancer Cell Collective Galvanotaxis,,,2020,10,1,,,10,,Scientific Reports,Nature Research,,,,,Article
Matsushita K.,Emergence of collective propulsion through cell-cell adhesion,,,2018,97,4,,,5,,Physical Review E,American Physical Society,,,,,Article
"Aiello N. M., Maddipati R., Norgard R. J., Balli D., Li J., Yuan S., Yamazoe T., Black T., Sahmoud A., Furth E. E., Bar-Sagi D., Stanger B. Z.",EMT Subtype Influences Epithelial Plasticity and Mode of Cell Migration,,,2018,45,6,681-6950000,,266,,Developmental Cell,Cell Press,,,,,Article
Montell D.J.,"EMT, one of many morphological transitions in cellular phase space",The Epithelial-to Mesenchymal Transition,New York,2020,2179,1,13-18,,0,"Campbell K., Theveneau E.",Methods in Molecular Biology,Humana Press Inc.,,,,,Book Chapter
"Giavazzi F., Malinverno C., Ferrari A., Scita G., Cerbino R.",Endocytic reawakening of motility and flocking in jammed epithelia,,,2018,,,76-77,,0,,"IUTAM Symposium on Motile Cells in Complex Environments, MCCE 2018",International Union of Theoretical and Applied Mechanics,IUTAM Symposium on Motile Cells in Complex Environments,15-May-18,"Udine, Italy",,Conference Paper
"Yrlid U., Holm M., Levin M., Alsén S., Lindbom M., Glise L., Bergh N., Borén J., Fogelstrand P.",Endothelial repair is dependent on CD11c + leukocytes to establish regrowing endothelial sheets with high cellular density,,,2019,105,1,195-202,,2,,Journal of Leukocyte Biology,John Wiley and Sons Inc.,,,,,Article
"Zhang J., Goliwas K.F., Wang W., Taufalele P.V., Bordeleau F., Reinhart-King C.A.",Energetic regulation of coordinated leader–follower dynamics during collective invasion of breast cancer cells,,,2019,116,16,7867-7872,,66,,Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences,,,,,Article
"George E., Barai A., Shirke P., Majumder A., Sen S.",Engineering interfacial migration by collective tuning of adhesion anisotropy and stiffness,,,2018,72,1,82-93,,8,,Acta Biomaterialia,Acta Materialia Inc,,,,,Article
"Tait A., Glynne-Jones P., Hill A.R., Smart D.E., Blume C., Hammarstrom B., Fisher A.L., Grossel M.C., Swindle E.J., Hill M., Davies D.E.",Engineering multi-layered tissue constructs using acoustic levitation,,,2019,9,1,,,17,,Scientific Reports,Nature Publishing Group,,,,,Article
"Alaimo L., Luciano M., Mohammed D., Versaevel M., Bruyère C., Vercruysse E., Gabriele S.",Engineering slit-like channels for studying the growth of epithelial tissues in 3D-confined spaces,,,2020,117,9,2887-2896,,2,,Biotechnology and Bioengineering,John Wiley and Sons Inc.,,,,,Article
"Wang L., Cai P., Luo J., Zhang F., Liu J., Chen Y., Zhu Z., Song Y., Yang B., Liu X., Chen X., Wang S.",Engineering subcellular-patterned biointerfaces to regulate the surface wetting of multicellular spheroids,,,2018,11,10,5704-5715,,10,,Nano Research,Tsinghua University Press,,,,,Article
"Samuel R.Z., Lei P., Nam K., Baker O.J., Andreadis S.T.",Engineering the mode of morphogenetic signal presentation to promote branching from salivary gland spheroids in 3D hydrogels,,,2020,105,1,121-130,,2,,Acta Biomaterialia,Acta Materialia Inc,,,,,Article
"Debets V.E., Janssen L.M.C., Storm C.",Enhanced persistence and collective migration in cooperatively aligning cell clusters,,,2021,120,8,1483-1497,,1,,Biophysical Journal,Biophysical Society,,,,,Article
"Urdeitx P., Doweidar M.H.",Enhanced piezoelectric fibered extracellular matrix to promote cardiomyocyte maturation and tissue formation: A 3d computational model,,,2021,10,2,44588,,2,,Biology,MDPI AG,,,,,Article
"Gupta S., Duszyc K., Verma S., Budnar S., Liang X., Gomez G.A., Marcq P., Noordstra I., Yap A.S.",Enhanced RhoA signalling stabilizes E-cadherin in migrating epithelial monolayers,,,2021,134,17,,,0,,Journal of cell science,NLM (Medline),,,,,Article
"Gorji A., Toh P.J.Y., Ong H.T., Toh Y.-C., Toyama Y., Kanchanawong P.",Enhancement of Endothelialization by Topographical Features Is Mediated by PTP1B-Dependent Endothelial Adherens Junctions Remodeling,,,2021,7,6,2661-2675,,0,,ACS Biomaterials Science and Engineering,American Chemical Society,,,,,Article
"Kim H. J., Roh J. Y., Jung Y.",Eosinophils Accelerate Pathogenesis of Psoriasis by Supporting an Inflammatory Milieu that Promotes Neutrophil Infiltration,,,2018,138,10,2185-2194,,7,,Journal of Investigative Dermatology,Elsevier B.V.,,,,,Article
"Felton J.M., Vallabh S., Parameswaran S., Edsall L.E., Ernst K., Wronowski B., Malik A., Kotliar M., Weirauch M.T., Barski A., Fulkerson P.C., Rothenberg M.E.",Epigenetic analysis of the chromatin landscape identifies a repertoire of murine eosinophil-specific pu.1-bound enhancers,,,2021,207,4,1044-1054,,2,,Journal of Immunology,American Association of Immunologists,,,,,Article
"Wei T., Lin R., Fu X., Lu Y., Zhang W., Li Z., Zhang J., Wang H.",Epigenetic regulation of the DNMT1/MT1G/KLF4/CA9 axis synergises the anticancer effects of sorafenib in hepatocellular carcinoma,,,2022,180,1,,,0,,Pharmacological Research,Academic Press,,,,,Article
"Pradhan N., Parbin S., Kar S., Das L., Kirtana R., Suma Seshadri G., Sengupta D., Deb M., Kausar C., Patra S.K.",Epigenetic silencing of genes enhanced by collective role of reactive oxygen species and MAPK signaling downstream ERK/Snail axis: Ectopic application of hydrogen peroxide repress CDH1 gene by enhanced DNA methyltransferase activity in human breast cancer,,,2019,1865,6,1651-1665,,19,,Biochimica et Biophysica Acta - Molecular Basis of Disease,Elsevier B.V.,,,,,Article
"Onochie O.E., Zollinger A., Rich C.B., Smith M., Trinkaus-Randall V.",Epithelial cells exert differential traction stress in response to substrate stiffness,,,2019,181,1,25-37,,9,,Experimental Eye Research,Academic Press,,,,,Article
"DeCamp S.J., Tsuda V.M.K., Ferruzzi J., Koehler S.A., Giblin J.T., Roblyer D., Zaman M.H., Weiss S.T., Kılıç A., De Marzio M., Park C.Y., Ogassavara N.C., Mitchel J.A., Butler J.P., Fredberg J.J.",Epithelial layer unjamming shifts energy metabolism toward glycolysis,,,2020,10,1,,,12,,Scientific Reports,Nature Research,,,,,Article
Mittal V.,Epithelial Mesenchymal Transition in Tumor Metastasis,,,2018,13,1,395-412,,415,,Annual Review of Pathology: Mechanisms of Disease,Annual Reviews Inc.,,,,,Article
"Koride S., Loza A.J., Sun S. X.",Epithelial vertex models with active biochemical regulation of contractility can explain organized collective cell motility,,,2018,2,3,,,20,,APL Bioengineering,American Institute of Physics Inc.,,,,,Article
"Hino N., Rossetti L., Marín-Llauradó A., Aoki K., Trepat X., Matsuda M., Hirashima T.",ERK-Mediated Mechanochemical Waves Direct Collective Cell Polarization,,,2020,53,6,646-660,,52,,Developmental Cell,Cell Press,,,,,Article
"Mazumdar S., Ghosh A.K., Dinda M., Das A.K., Das S., Jana K., Karmakar P.",Evaluation of wound healing activity of ethanol extract of Annona reticulata L. leaf both in vitro and in diabetic mice model,,,2021,11,1,27-37,,10,,Journal of Traditional and Complementary Medicine,National Taiwan University,,,,,Article
"Kim D., Vasudevan R.K., Higgins K., Morozovska A., Eliseev E.A., Ziatdinov M., Kalinin S.V., Ahmadi M.",Exploring Responses of Contact Kelvin Probe Force Microscopy in Triple-Cation Double-Halide Perovskites,,,2021,125,22,12355-12365,,2,,Journal of Physical Chemistry C,American Chemical Society,,,,,Article
"Park S.-Y., Jang H., Kim S.-Y., Kim D., Park Y., Kee S.-H.",Expression of e-cadherin in epithelial cancer cells increases cell motility and directionality through the localization of zo-1 during collective cell migration,,,2021,8,5,,,1,,Bioengineering,MDPI AG,,,,,Article
"Aladin D.M.K., Chu Y.S., Shen S., Robinson R.C., Dufour S., Viasnoff V., Borghi N., Thiery J.P.",Extracellular domains of E-cadherin determine key mechanical phenotypes of an epithelium through cell- And non-cellautonomous outside-in signaling,,,2021,16,44907,,,0,,PLoS ONE,Public Library of Science,,,,,Article
"Asgarifar S., Mestre A.L.G., Félix R.C., Inácio P.M.C., Cristiano M.L.S., Medeiros M.C.R., Araújo I.M., Power D.M., Gomes H.L.",Extracellular electrophysiological based sensor to monitor cancer cells cooperative migration and cell-cell connections,,,2019,145,1,,,4,,Biosensors and Bioelectronics,Elsevier Ltd,,,,,Article
"Chen D.-Y., Crest J., Streichan S.J., Bilder D.",Extracellular matrix stiffness cues junctional remodeling for 3D tissue elongation,,,2019,10,1,,,19,,Nature Communications,Nature Publishing Group,,,,,Article
"Liu K., Tang S., Li W., Wen W., Ding S., Liu M., Li H., Zhou C., Luo B.","Facile Method to Create Poly(d, l -lactide) Composite Membranes with Sequential Chitin Whisker Layers for Tunable Strength and Cell Adhesion",,,2021,9,12,4440-4452,,2,,ACS Sustainable Chemistry and Engineering,American Chemical Society,,,,,Article
"Lamb M.C., Kaluarachchi C.P., Lansakara T.I., Mellentine S.Q., Lan Y., Tivanski A.V., Tootle T.L.",Fascin limits myosin activity within drosophila border cells to control substrate stiffness and promote migration,,,2021,10,1,,,0,,eLife,eLife Sciences Publications Ltd,,,,,Article
"Lamb M.C., Anliker K.K., Tootle T.L.","Fascin regulates protrusions and delamination to mediate invasive, collective cell migration in vivo",,,2020,249,8,961-982,,5,,Developmental Dynamics,John Wiley and Sons Inc,,,,,Article
